Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26401017events-3_pair51,26401017events-3.csv,51,2,"[0.950068493150685, 0.9533561643835616]",0.9517123287671232,0.950068493150685,0.9533561643835616,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair105,26401017events-2.csv,105,9,"[0.7607534246575343, 0.7945890410958905, 0.8226712328767123, 0.8251369863013699, 0.828013698630137, 0.8289726027397261, 0.8302054794520548, 0.8330821917808219, 0.8347260273972603]",0.817572298325723,0.7607534246575343,0.8347260273972603,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair29,26401017events-3.csv,29,3,"[0.9397945205479452, 0.9485616438356165, 0.9536301369863014]",0.9473287671232876,0.9397945205479452,0.9536301369863014,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-2_pair59,26401017events-2.csv,59,2,"[0.7878767123287671, 0.7917123287671233]",0.7897945205479452,0.7878767123287671,0.7917123287671233,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair46,26401017events-2.csv,46,8,"[0.7614383561643836, 0.7697945205479452, 0.8378767123287671, 0.8445890410958904, 0.848013698630137, 0.8508904109589042, 0.855, 0.8563698630136987]",0.8279965753424657,0.7614383561643836,0.8563698630136987,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair193,26401017events-3.csv,193,4,"[0.8873287671232877, 0.916095890410959, 0.9278767123287671, 0.9303424657534246]",0.9154109589041096,0.8873287671232877,0.9303424657534246,7300.0,IgG,0.475,0.475,0.915
26401017events-2_pair71,26401017events-2.csv,71,10,"[0.7582876712328767, 0.7591095890410959, 0.8444520547945206, 0.8495205479452055, 0.8503424657534246, 0.8515753424657534, 0.8599315068493151, 0.8611643835616438, 0.865, 0.8670547945205479]",0.8366438356164384,0.7582876712328767,0.8670547945205479,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair153,26401017events-3.csv,153,2,"[0.9462328767123288, 0.9511643835616438]",0.9486986301369864,0.9462328767123288,0.9511643835616438,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair38,26401017events-2.csv,38,3,"[0.9328082191780822, 0.934041095890411, 0.9391095890410959]",0.9353196347031963,0.9328082191780822,0.939109589041096,7300.0,IgG,0.533,0.533,0.935
26401017events-2_pair90,26401017events-2.csv,90,15,"[0.7508904109589041, 0.7521232876712329, 0.7604794520547945, 0.7647260273972603, 0.7684246575342466, 0.7726712328767124, 0.7763698630136986, 0.7810273972602739, 0.788972602739726, 0.7969178082191781, 0.8006164383561644, 0.816917808219178, 0.8177397260273973, 0.8248630136986301, 0.8291095890410959]",0.7867899543378997,0.7508904109589041,0.8291095890410959,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair76,26401017events-3.csv,76,2,"[0.9514383561643835, 0.9526712328767123]",0.952054794520548,0.9514383561643835,0.9526712328767124,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair80,26401017events-3.csv,80,3,"[0.9467808219178082, 0.9506164383561644, 0.9514383561643835]",0.9496118721461188,0.9467808219178082,0.9514383561643835,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair132,26401017events-3.csv,132,3,"[0.9522602739726027, 0.9547260273972603, 0.9585616438356165]",0.9551826484018264,0.9522602739726028,0.9585616438356164,7300.0,IgG,0.533,0.533,0.935
26401017events-3_pair113,26401017events-3.csv,113,2,"[0.9497945205479452, 0.9536301369863014]",0.9517123287671232,0.9497945205479452,0.9536301369863014,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair65,26401017events-3.csv,65,2,"[0.9511643835616438, 0.9528082191780822]",0.9519863013698632,0.9511643835616438,0.9528082191780822,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair35,26401017events-3.csv,35,2,"[0.9515753424657534, 0.9523972602739726]",0.9519863013698632,0.9515753424657534,0.9523972602739726,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair28,26401017events-3.csv,28,3,"[0.949931506849315, 0.9511643835616438, 0.9519863013698631]",0.951027397260274,0.949931506849315,0.9519863013698632,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-2_pair72,26401017events-2.csv,72,2,"[0.827054794520548, 0.8308904109589041]",0.8289726027397261,0.827054794520548,0.8308904109589041,7300.0,IgG,0.65,0.65,0.963
26401017events-2_pair14,26401017events-2.csv,14,10,"[0.7815753424657534, 0.7869178082191781, 0.7907534246575343, 0.8286986301369863, 0.832945205479452, 0.835, 0.8362328767123288, 0.8388356164383561, 0.8400684931506849, 0.8445890410958904]",0.8215616438356165,0.7815753424657534,0.8445890410958904,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair68,26401017events-3.csv,68,3,"[0.9502054794520548, 0.9515753424657534, 0.9528082191780822]",0.9515296803652968,0.9502054794520548,0.9528082191780822,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair34,26401017events-3.csv,34,2,"[0.9497945205479452, 0.9548630136986301]",0.9523287671232876,0.9497945205479452,0.95486301369863,7300.0,apo-Tf,0.65,0.65,0.963
