Event,Num_Peaks,Peak_Positions,IgG_Similarity,apo-Tf_Similarity,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331012-1Events_pair235,3,"[0.9404794520547946, 0.9471917808219178, 0.9525342465753425]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair237,3,"[0.952945205479452, 0.9537671232876712, 0.9588356164383561]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair238,5,"[0.9551369863013699, 0.9567808219178082, 0.958013698630137, 0.9588356164383561, 0.9600684931506849]",0.44,0.0,IgG,0.44,0.44,0.9
26331012-1Events_pair243,6,"[0.9408904109589041, 0.9417123287671233, 0.9437671232876712, 0.9458219178082192, 0.9513013698630137, 0.9563698630136986]",0.0,0.417,apo-Tf,0.417,0.417,0.889
26331012-1Events_pair245,2,"[0.9513013698630137, 0.9604794520547946]",0.65,0.65,IgG,0.65,0.0,0.5
26331012-1Events_pair247,2,"[0.9559589041095891, 0.9588356164383561]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair248,6,"[0.9508904109589041, 0.9525342465753425, 0.9533561643835616, 0.9543150684931507, 0.9596575342465753, 0.9684246575342466]",0.417,0.417,IgG,0.417,0.0,0.5
26331012-1Events_pair250,2,"[0.9567808219178082, 0.958013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair251,4,"[0.9513013698630137, 0.9533561643835616, 0.9596575342465753, 0.9604794520547946]",0.475,0.475,IgG,0.475,0.0,0.5
26331012-1Events_pair253,2,"[0.9521232876712329, 0.952945205479452]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair254,4,"[0.9488356164383561, 0.9496575342465754, 0.952945205479452, 0.9559589041095891]",0.0,0.475,apo-Tf,0.475,0.475,0.915
26331012-1Events_pair255,2,"[0.9592465753424657, 0.9600684931506849]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair256,2,"[0.9588356164383561, 0.9596575342465753]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair257,10,"[0.818013698630137, 0.820068493150685, 0.8467808219178082, 0.8506164383561644, 0.8756849315068493, 0.9378767123287671, 0.9563698630136986, 0.9571917808219178, 0.9588356164383561, 0.9692465753424657]",0.417,0.0,IgG,0.417,0.417,0.889
26331012-1Events_pair258,2,"[0.9588356164383561, 0.9600684931506849]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair264,2,"[0.9567808219178082, 0.958013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair265,2,"[0.9571917808219178, 0.958013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair267,2,"[0.9547260273972603, 0.9596575342465753]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair270,3,"[0.9547260273972603, 0.9559589041095891, 0.9571917808219178]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair271,3,"[0.9458219178082192, 0.9563698630136986, 0.9613013698630137]",0.533,0.533,IgG,0.533,0.0,0.5
