Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used
26516015Events_pair27,26516015Events.csv,27,2,"[0.46644444444444444, 0.906]",0.6862222222222223,0.46644444444444444,0.906,2250.0
26516015Events_pair28,26516015Events.csv,28,1,[0.9655555555555555],0.9655555555555555,0.9655555555555555,0.9655555555555555,2250.0
26516015Events_pair29,26516015Events.csv,29,1,[0.9495555555555556],0.9495555555555556,0.9495555555555556,0.9495555555555556,2250.0
26516015Events_pair30,26516015Events.csv,30,1,[0.9357777777777778],0.9357777777777778,0.9357777777777778,0.9357777777777778,2250.0
26516015Events_pair31,26516015Events.csv,31,3,"[0.3904444444444444, 0.49933333333333335, 0.9442222222222222]",0.6113333333333334,0.3904444444444444,0.9442222222222222,2250.0
26516015Events_pair32,26516015Events.csv,32,1,[0.9442222222222222],0.9442222222222222,0.9442222222222222,0.9442222222222222,2250.0
26516015Events_pair33,26516015Events.csv,33,2,"[0.45844444444444443, 0.5344444444444445]",0.49644444444444447,0.45844444444444443,0.5344444444444445,2250.0
26516015Events_pair34,26516015Events.csv,34,1,[0.9713333333333334],0.9713333333333334,0.9713333333333334,0.9713333333333334,2250.0
26516015Events_pair35,26516015Events.csv,35,3,"[0.5206666666666667, 0.67, 0.6753333333333333]",0.622,0.5206666666666667,0.6753333333333333,2250.0
26516015Events_pair36,26516015Events.csv,36,3,"[0.502, 0.5206666666666667, 0.9766666666666667]",0.6664444444444445,0.502,0.9766666666666667,2250.0
26516015Events_pair37,26516015Events.csv,37,3,"[0.41755555555555557, 0.5477777777777778, 0.5588888888888889]",0.5080740740740741,0.41755555555555557,0.5588888888888889,2250.0
26516015Events_pair38,26516015Events.csv,38,1,[0.9766666666666667],0.9766666666666667,0.9766666666666667,0.9766666666666667,2250.0
26516015Events_pair39,26516015Events.csv,39,1,[0.40155555555555555],0.40155555555555555,0.40155555555555555,0.40155555555555555,2250.0
26516015Events_pair40,26516015Events.csv,40,2,"[0.4855555555555556, 0.6051111111111112]",0.5453333333333333,0.4855555555555556,0.6051111111111112,2250.0
26516015Events_pair41,26516015Events.csv,41,1,[0.46111111111111114],0.46111111111111114,0.46111111111111114,0.46111111111111114,2250.0
26516015Events_pair42,26516015Events.csv,42,1,[0.4908888888888889],0.4908888888888889,0.4908888888888889,0.4908888888888889,2250.0
26516015Events_pair43,26516015Events.csv,43,1,[0.44466666666666665],0.44466666666666665,0.44466666666666665,0.44466666666666665,2250.0
26516015Events_pair44,26516015Events.csv,44,1,[0.9793333333333333],0.9793333333333333,0.9793333333333333,0.9793333333333333,2250.0
26516015Events_pair45,26516015Events.csv,45,1,[0.41755555555555557],0.41755555555555557,0.41755555555555557,0.41755555555555557,2250.0
26516015Events_pair46,26516015Events.csv,46,2,"[0.5615555555555556, 0.9766666666666667]",0.7691111111111111,0.5615555555555556,0.9766666666666667,2250.0
26516015Events_pair47,26516015Events.csv,47,0,[],,,,2250.0
26516015Events_pair48,26516015Events.csv,48,2,"[0.51, 0.6077777777777778]",0.5588888888888889,0.51,0.6077777777777778,2250.0
26516015Events_pair49,26516015Events.csv,49,1,[0.9628888888888889],0.9628888888888889,0.9628888888888889,0.9628888888888889,2250.0
26516015Events_pair50,26516015Events.csv,50,1,[0.9793333333333333],0.9793333333333333,0.9793333333333333,0.9793333333333333,2250.0
26516015Events_pair51,26516015Events.csv,51,2,"[0.4557777777777778, 0.4748888888888889]",0.4653333333333334,0.4557777777777778,0.4748888888888889,2250.0
26516015Events_pair52,26516015Events.csv,52,1,[0.4722222222222222],0.4722222222222222,0.4722222222222222,0.4722222222222222,2250.0
26516015Events_pair53,26516015Events.csv,53,2,"[0.40155555555555555, 0.6184444444444445]",0.51,0.40155555555555555,0.6184444444444445,2250.0
26516015Events_pair54,26516015Events.csv,54,0,[],,,,2250.0
26516015Events_pair55,26516015Events.csv,55,2,"[0.42866666666666664, 0.578]",0.5033333333333333,0.42866666666666664,0.578,2250.0
